timestamp,label,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63
2026-02-19T22:57:30.268311Z,present,22.25,22.75,22.25,22.75,22.75,23.25,23.5,24.25,22.25,22.0,23.0,22.25,22.75,22.5,23.25,23.5,22.75,22.5,23.0,22.75,23.5,23.0,23.5,23.5,22.5,22.75,23.25,24.25,24.25,24.25,23.75,24.0,23.0,22.75,23.0,22.75,23.25,23.0,24.0,26.0,22.5,22.75,23.0,23.0,22.75,23.25,24.5,29.0,22.5,22.5,23.25,22.5,23.25,23.0,24.0,29.0,22.25,22.75,22.5,22.75,22.5,23.0,23.0,24.75
2026-02-19T22:57:40.141340Z,present,22.75,22.75,22.75,22.25,22.25,22.0,22.25,22.25,22.25,22.5,22.75,22.25,22.25,22.0,21.5,22.25,22.75,22.25,22.75,22.25,22.25,22.0,22.5,22.0,22.0,22.5,22.0,23.25,22.5,22.25,22.5,22.75,22.5,22.75,23.25,23.75,22.5,22.0,22.25,22.0,23.0,22.5,22.25,23.75,22.25,22.25,22.5,22.25,27.25,24.5,23.0,23.0,22.75,21.5,22.25,21.75,28.0,26.75,22.25,22.0,21.75,22.25,21.75,22.75
2026-02-19T22:57:44.121497Z,empty,22.25,22.5,22.25,22.75,22.75,23.0,22.25,22.75,22.75,22.5,22.75,22.0,22.25,21.75,22.5,23.0,22.75,22.5,23.0,22.25,22.75,22.5,22.75,22.75,22.25,23.0,22.75,23.5,23.25,22.5,23.0,22.75,22.75,22.75,23.0,23.5,23.0,22.5,22.25,22.0,22.5,22.5,22.75,24.0,22.75,22.75,22.0,22.25,26.0,23.25,22.75,23.0,22.75,22.0,22.5,22.25,27.25,25.75,22.25,22.75,22.25,22.5,21.75,23.0
2026-02-19T22:57:48.026632Z,empty,22.75,23.25,22.75,22.5,22.25,22.75,22.25,23.75,22.25,22.75,22.75,22.25,22.5,22.75,22.25,23.25,22.5,22.75,23.0,22.5,22.75,22.5,23.25,22.75,22.5,22.75,22.75,23.25,23.25,23.0,23.25,22.5,23.0,22.75,23.0,23.75,23.5,22.25,22.75,22.75,23.0,22.75,22.75,24.0,22.5,22.75,23.0,22.25,26.25,23.25,23.5,23.25,23.0,22.0,22.5,22.75,27.25,26.0,22.5,22.5,22.5,22.75,22.75,23.0
2026-02-19T22:57:50.099579Z,empty,22.75,22.5,22.0,22.5,22.5,22.25,22.75,23.0,22.25,22.5,22.75,22.25,22.5,22.25,22.5,22.25,22.75,23.0,22.75,22.5,23.0,22.25,22.5,22.25,22.5,22.75,22.5,23.0,23.0,22.75,23.0,22.75,23.0,23.25,22.75,23.5,23.0,22.5,22.75,22.25,22.5,22.75,22.75,24.0,23.0,22.5,22.25,22.25,26.25,23.75,23.0,23.25,22.75,21.75,22.75,22.25,27.75,27.0,22.5,22.5,22.5,22.25,22.0,22.75
2026-02-19T22:57:53.216925Z,empty,22.75,22.75,22.25,22.5,22.25,22.5,22.25,22.25,22.5,22.75,22.5,22.5,22.25,22.25,22.25,22.25,23.0,22.5,22.75,22.25,23.0,22.5,22.5,22.5,22.75,23.0,22.25,23.5,23.0,22.25,22.75,22.75,23.0,23.0,23.25,23.5,23.25,22.75,22.5,22.75,22.75,23.0,22.75,24.0,22.75,22.75,22.5,22.5,26.5,23.25,23.25,23.75,22.75,22.25,22.5,23.0,28.0,25.75,22.5,22.75,22.5,22.25,22.0,22.5
2026-02-19T22:57:55.908268Z,present,22.0,23.0,22.5,22.5,22.5,21.75,22.25,22.5,22.5,22.5,23.0,22.25,23.0,22.0,22.5,22.25,22.75,22.5,22.75,22.25,23.0,22.5,22.75,22.25,22.25,22.75,22.5,23.0,23.25,22.75,23.25,22.5,22.5,23.0,23.0,23.5,23.25,22.0,22.5,22.75,22.25,22.5,22.5,23.75,23.0,22.75,22.5,22.5,26.25,23.5,22.75,23.5,22.75,21.75,22.25,22.25,27.5,26.5,22.0,22.5,22.5,22.25,22.25,23.0
2026-02-19T23:03:28.361195Z,present,22.5,22.5,22.25,22.25,22.5,22.25,22.25,22.75,22.5,22.5,22.5,22.0,22.5,22.5,22.25,22.5,22.75,22.25,23.0,22.0,23.0,22.5,22.5,22.25,22.0,22.75,22.5,23.0,22.5,22.5,22.5,22.5,22.5,23.0,23.0,23.75,23.0,22.0,23.0,22.0,22.25,22.25,22.25,24.0,22.75,22.5,22.75,22.0,22.25,22.0,22.75,22.75,22.5,22.0,22.5,22.75,24.25,22.5,21.75,22.5,22.5,22.25,21.75,23.25
2026-02-19T23:03:28.606511Z,present,22.5,22.5,22.5,22.25,22.5,22.25,22.5,23.0,22.5,22.75,23.0,22.25,22.5,22.5,22.25,22.75,22.5,22.5,22.75,22.5,22.5,22.5,22.75,22.75,22.25,22.5,22.25,23.75,22.75,22.75,23.0,22.5,22.75,22.75,22.5,24.0,22.75,22.25,22.5,22.25,22.25,22.5,22.5,24.0,22.5,22.25,22.5,22.75,22.75,22.25,22.5,23.0,23.0,22.0,22.25,22.25,22.75,22.75,22.0,22.25,22.0,21.75,22.75,23.0
2026-02-19T23:07:18.779397Z,present,22.25,22.5,22.5,22.5,22.25,22.5,22.0,22.5,22.25,22.25,22.5,22.25,22.25,21.75,21.75,22.5,22.0,22.25,23.0,22.5,22.5,21.75,21.75,22.5,22.25,22.75,22.5,23.25,22.0,22.25,22.5,22.25,22.75,22.5,22.75,23.5,22.5,22.0,21.75,22.0,22.5,22.0,22.25,24.0,22.25,22.75,22.25,22.0,22.5,21.75,22.75,23.0,23.0,21.25,22.25,22.25,22.25,22.5,21.5,22.0,22.25,21.75,21.75,22.5
2026-02-19T23:09:39.601251Z,empty,22.5,23.25,22.5,22.75,22.0,22.5,22.0,23.0,22.5,22.25,22.75,22.25,22.25,22.0,21.75,22.5,22.5,22.25,23.25,22.25,22.75,22.25,23.0,22.25,22.25,22.75,22.5,22.75,22.75,22.5,22.75,22.75,22.5,22.5,23.0,23.75,23.0,22.25,22.5,22.75,22.5,22.0,22.75,24.0,22.25,22.5,22.25,22.25,22.5,22.25,22.75,23.25,22.5,22.25,22.0,22.0,22.0,22.5,22.5,22.75,22.25,21.75,22.75,22.0
2026-02-19T23:09:43.931534Z,empty,22.25,22.5,22.5,22.75,22.5,22.25,22.75,22.75,22.5,22.75,22.75,22.5,23.25,22.5,22.0,22.5,22.5,22.5,23.25,23.25,23.0,22.5,22.75,22.25,22.25,22.25,22.75,24.0,23.25,22.75,22.75,22.25,23.0,23.0,22.75,24.0,23.5,23.0,22.5,22.25,22.5,22.5,22.75,23.25,22.75,23.0,22.5,22.25,23.25,22.75,22.75,22.0,23.0,22.25,23.25,22.75,26.0,26.75,22.5,22.75,21.25,22.75,22.5,21.75
2026-02-19T23:09:47.467610Z,present,35.5,35.5,35.5,35.25,35.25,35.25,35.0,34.75,34.75,35.0,35.25,35.25,35.25,35.0,35.0,35.25,35.0,35.5,35.0,35.25,34.75,34.75,34.75,35.25,34.75,35.25,35.0,35.0,35.0,35.25,35.0,34.75,34.75,34.75,35.0,34.75,34.75,34.75,35.25,34.25,34.75,34.75,35.0,34.75,35.0,34.5,34.5,34.75,34.75,34.75,35.0,34.25,34.5,34.0,34.75,34.25,34.0,34.25,34.5,34.75,34.0,34.25,33.75,34.5
2026-02-19T23:09:55.451263Z,present,36.0,36.0,36.25,36.0,36.0,36.0,36.0,36.25,36.0,36.25,36.0,36.0,36.0,35.75,35.5,36.0,35.75,36.25,36.25,36.0,36.0,35.75,35.25,35.75,35.75,36.0,35.75,36.0,35.75,35.75,36.0,35.5,35.0,35.75,36.0,35.5,36.25,35.5,36.0,35.5,35.25,34.75,35.5,35.5,35.5,35.5,36.0,35.5,35.25,35.25,35.75,35.25,35.5,34.75,35.5,35.25,34.5,35.25,34.5,35.25,34.75,34.75,35.0,34.75
2026-02-19T23:09:59.506029Z,present,36.25,36.75,37.0,37.5,37.5,37.75,37.0,37.75,35.25,36.25,36.5,36.5,37.5,37.5,37.0,37.5,35.75,36.0,36.75,37.0,37.5,37.0,37.5,37.0,35.0,36.0,36.75,37.25,37.25,37.5,37.5,37.0,35.25,36.0,36.5,36.5,36.75,36.5,36.75,36.25,34.75,35.5,36.25,36.25,36.5,36.5,36.75,36.5,33.75,35.0,36.0,36.0,36.5,36.0,36.25,35.75,30.25,34.5,34.5,35.5,35.5,35.25,35.25,35.0
